customer_key;customer_name;customer_type;gender;age;csp;city;country_key;phone;email;created_date_key
1;Adélaïde de la Simon;B2C;F;29;Technicien;Berlin;49;0458275736;paulette64@example.com;20220922
2;Lelièvre;B2B;F;61;Cadre Supérieur;Cologne;49;+33 2 78 68 40 16;jeanmary@example.org;20230517
3;Christelle Barthelemy;B2C;M;45;Profession libérale;Tokyo;81;+33 (0)4 32 84 92 28;navarroisaac@example.org;20230102
4;Maurice Jacob-Guillet;B2C;M;33;Cadre;Frankfurt;49;0493684907;josettelombard@example.net;20230820
5;Guérin Dufour S.A.;B2B;M;37;Entrepreneur;Chengdu;86;+33 1 75 96 83 37;rbuisson@example.com;20241104
6;Raymond Foucher du De Oliveira;B2C;F;52;Indépendant;Tokyo;81;08 09 85 83 06;nathchevalier@example.net;20230505
7;Denise Lefèvre;B2C;F;67;Indépendant;Munich;49;+33 (0)1 72 28 49 64;ifoucher@example.net;20200324
8;Dorothée Maillot;B2C;F;53;Indépendant;Barcelona;34;+33 4 63 79 58 90;lucy33@example.org;20190116
9;Laurence Clerc;B2C;M;57;Indépendant;Birmingham;44;+33 5 45 95 19 60;celina49@example.net;20210225
10;Adrien-Paul Lecoq;B2C;M;51;Indépendant;Los Angeles;1;0233497521;thibaultdos-santos@example.com;20200308
11;Maurice Diallo;B2C;M;32;Cadre;Marseille;33;02 29 40 62 27;margaud92@example.org;20240707
12;Dijoux;B2B;M;39;Profession libérale;Frankfurt;49;+33 4 86 37 24 34;elisemarin@example.net;20200710
13;Margaux Leleu;B2C;M;23;Commerçant;Tokyo;81;0370935670;aboyer@example.net;20200126
14;Charles-Thierry Pons;B2C;F;33;Cadre;Bilbao;34;01 45 37 05 52;philippe88@example.com;20220830
15;Matthieu-Martin Prévost;B2C;F;57;Cadre Supérieur;Houston;1;0475695436;olivie95@example.net;20221013
16;Daniel Grondin;B2C;F;45;Profession libérale;Bordeaux;33;+33 (0)4 68 92 78 29;carrechristelle@example.net;20210521
17;Antoine Boyer-Monnier;B2C;F;70;Retraité;Beijing;86;+33 (0)2 38 82 62 57;mpicard@example.org;20240702
18;Maryse-Pénélope Sauvage;B2C;M;20;Employé;Rome;39;02 78 19 94 00;moringenevieve@example.com;20190927
19;Benoît Bertin;B2C;F;25;Commerçant;Paris;33;+33 (0)2 85 64 15 90;francoisevincent@example.net;20201024
20;Charles Boulay;B2C;F;28;Employé;Brasília;55;+33 1 34 21 41 08;xcourtois@example.net;20210603
21;Inès-Bernadette Fernandes;B2C;F;23;Employé;Yokohama;81;0181449706;lucyhubert@example.com;20191224
22;Arnaude Bouvier Le Prévost;B2C;M;41;Cadre;Phoenix;1;0155948612;etienne37@example.com;20231020
23;Gaillard;B2B;M;69;Indépendant;Beijing;86;0173880171;nicolasregnier@example.net;20210702
24;Thérèse Neveu;B2C;F;21;Employé;Berlin;49;+33 3 61 51 62 86;lucasmartin@example.net;20190223
25;Thierry Dumont-Dos Santos;B2C;M;43;Profession libérale;Brasília;55;04 71 85 03 37;kbourgeois@example.org;20210531
26;Timothée Julien;B2C;M;48;Profession libérale;Toulouse;33;0558160516;llabbe@example.com;20231225
27;Véronique Da Silva;B2C;M;51;Retraité;Toulouse;33;+33 3 65 45 95 04;remybarbier@example.com;20210127
28;Pelletier;B2B;M;63;Cadre Supérieur;Houston;1;+33 (0)3 80 40 63 49;ileger@example.org;20200102
29;Marc de Chrétien;B2C;M;31;Profession libérale;Los Angeles;1;+33 5 54 53 62 81;nathberthelot@example.org;20241115
30;Inès Perrot de Rémy;B2C;F;61;Indépendant;Kolkata;91;+33 3 62 29 84 71;martinedouard@example.com;20200929
31;Christophe Meunier du Monnier;B2C;F;31;Profession libérale;Frankfurt;49;03 79 78 58 41;ugillet@example.net;20240812
32;Gros;B2B;M;19;Étudiant;London;44;05 55 68 27 43;ponseleonore@example.com;20200901
33;Amélie Guérin;B2C;F;46;Entrepreneur;Salvador;55;0586881640;joubertconstance@example.org;20231004
34;Noémi-Corinne Michaud;B2C;M;57;Cadre Supérieur;New York;1;+33 (0)3 65 43 13 60;charriereugene@example.com;20200925
35;Alfred-Antoine Legendre;B2C;M;24;Technicien;Delhi;91;+33 4 80 91 39 51;christianeberthelot@example.org;20200308
36;Pascal S.A.;B2B;M;70;Cadre Supérieur;Guangzhou;86;03 44 85 20 60;mariannehebert@example.org;20190401
37;Danielle Michaud-Renaud;B2C;M;32;Entrepreneur;Naples;39;+33 5 90 22 87 77;andreepayet@example.org;20231102
38;Patrick Texier-Gilbert;B2C;M;45;Entrepreneur;Tokyo;81;+33 5 46 50 54 05;tleduc@example.org;20230120
39;Alexandre Auger;B2C;F;42;Entrepreneur;Guangzhou;86;01 48 31 64 96;moniquechevalier@example.org;20220825
40;Roger De Sousa;B2C;F;36;Cadre;Fortaleza;55;+33 6 36 24 65 57;cecile82@example.com;20191211
41;Luc-Aimé Leleu;B2C;F;46;Profession libérale;Paris;33;+33 4 15 60 87 27;clemencegoncalves@example.com;20201107
42;Madeleine Bonnet;B2C;F;43;Entrepreneur;Cologne;49;+33 (0)4 56 77 83 82;fferrand@example.org;20220609
43;Maurice Maurice du Bonnin;B2C;F;38;Profession libérale;Paris;33;0466087266;juliebodin@example.com;20230719
44;Neveu;B2B;M;22;Employé;Rome;39;+33 5 86 05 58 60;riouvirginie@example.net;20190330
45;Bouvet Bourdon SA;B2B;M;43;Cadre;Kolkata;91;+33 (0)6 57 69 62 39;edouardnavarro@example.com;20210707
46;Robert Merle SARL;B2B;F;34;Entrepreneur;Nagoya;81;+33 4 32 84 19 54;tessiergilbert@example.org;20220902
47;Agnès Chauvet;B2C;M;50;Indépendant;Osaka;81;08 04 22 42 21;julienmasson@example.com;20190102
48;Eugène Bailly;B2C;M;42;Cadre;Seville;34;08 08 24 06 54;lopesetienne@example.com;20240620
49;Emmanuel-Christophe Renard;B2C;M;53;Cadre Supérieur;Cologne;49;+33 (0)4 97 61 68 37;ndubois@example.org;20220717
50;Océane du Petitjean;B2C;F;22;Technicien;Chengdu;86;+33 4 34 73 66 69;margaretdubois@example.com;20240816
51;Madeleine du Tanguy;B2C;F;57;Cadre Supérieur;Birmingham;44;+33 (0)1 82 90 70 64;wbertrand@example.org;20190408
52;Jeanne Grenier;B2C;M;39;Entrepreneur;Guangzhou;86;01 47 23 73 23;noelmorin@example.net;20211101
53;Patrick Berthelot;B2C;M;60;Retraité;Paris;33;0178728180;elodie46@example.net;20211211
54;Lucas Lebon;B2C;F;38;Profession libérale;Lyon;33;+33 (0)4 37 28 54 35;boyermadeleine@example.org;20231220
55;Grégoire Blanchard;B2C;M;55;Retraité;Frankfurt;49;0142478606;jeanguibert@example.org;20240923
56;Diane Barthelemy;B2C;M;50;Cadre Supérieur;Beijing;86;0387290814;leblanclaetitia@example.com;20240111
57;Aimé Meyer;B2C;M;55;Retraité;Guangzhou;86;01 64 61 57 51;susannedaniel@example.com;20230828
58;Lagarde Thibault SA;B2B;M;18;Étudiant;Phoenix;1;02 46 03 57 21;pdumas@example.org;20231202
59;Amélie du Meunier;B2C;F;27;Employé;Paris;33;+33 7 90 20 44 34;da-costayves@example.net;20190208
60;Jean;B2B;M;35;Profession libérale;Mumbai;91;04 65 34 72 47;augustin94@example.net;20231108
61;Patrick Blanc;B2C;M;47;Profession libérale;Lyon;33;0241245288;gteixeira@example.net;20201001
62;Girard Bourgeois S.A.S.;B2B;M;20;Technicien;Glasgow;44;03 23 59 81 76;capucinetorres@example.org;20241205
63;Frédéric Pascal;B2C;M;46;Profession libérale;Mumbai;91;07 55 13 55 79;dprevost@example.net;20201223
64;Corinne Durand-Lévêque;B2C;M;23;Technicien;Nagoya;81;0298229563;amelie46@example.com;20230624
65;Andrée Martel;B2C;F;46;Cadre;Fortaleza;55;0375779075;mauricele-gall@example.net;20210105
66;Maillet Lucas SARL;B2B;M;61;Retraité;Lyon;33;+33 3 65 82 74 24;gabrielle47@example.org;20210219
67;Adèle Verdier-Gautier;B2C;M;40;Cadre;Paris;33;0532634808;charlesroger@example.com;20221226
68;Maggie de Duval;B2C;M;27;Technicien;New York;1;0325841138;le-gallclemence@example.com;20190711
69;Mathilde Lemoine;B2C;M;68;Cadre Supérieur;Manchester;44;0362971293;alexandria16@example.net;20190301
70;Franck Prévost;B2C;M;62;Retraité;Chennai;91;02 78 20 71 53;brigittedupuis@example.com;20190521
71;Charles Garnier;B2C;F;35;Entrepreneur;Munich;49;+33 1 70 68 67 64;danielle93@example.com;20200902
72;Suzanne-Astrid Diallo;B2C;M;67;Retraité;Chennai;91;+33 (0)4 58 79 09 74;penelope85@example.com;20230916
73;Alice Evrard;B2C;F;70;Indépendant;Turin;39;+33 5 56 10 07 04;uleveque@example.net;20200316
74;Gilbert Vidal;B2C;F;53;Indépendant;Kolkata;91;+33 7 61 67 97 18;margauxmarie@example.org;20241214
75;Anastasie Launay;B2C;M;26;Employé;Salvador;55;04 75 48 11 08;rolandklein@example.com;20230206
76;Anne-Victoire Duhamel;B2C;F;55;Cadre Supérieur;Turin;39;0176878777;vidalpauline@example.org;20240716
77;Bernard-Thomas Gillet;B2C;M;57;Retraité;Osaka;81;+33 2 37 11 96 96;raymondlorraine@example.net;20190211
78;Henri-Sébastien Menard;B2C;M;23;Commerçant;Fortaleza;55;+33 (0)1 72 07 98 63;lbertin@example.net;20190323
79;Huet Coulon SARL;B2B;F;51;Indépendant;Bilbao;34;05 90 21 16 86;ubodin@example.net;20230415
80;Joseph Gomez;B2C;F;25;Commerçant;Valencia;34;05 16 32 68 37;chauvinandre@example.net;20230910
81;Jourdan Louis S.A.S.;B2B;M;67;Indépendant;Barcelona;34;+33 2 51 97 19 17;paulinegrenier@example.org;20190128
82;Pierre Labbé;B2C;F;29;Employé;Sapporo;81;+33 (0)2 57 50 81 57;vgallet@example.net;20191112
